"Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",2.9,4.1,3.9,5.5,"Jammu & Kashmir",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",63.7,62.1,62.3,78.5,"Jammu & Kashmir",NA,NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",54.9,55.9,55.6,45.7,"Jammu & Kashmir",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",68.1,59.9,62,65.4,"Jammu & Kashmir",NA,NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",44.3,41,41.8,50.2,"Jammu & Kashmir","Based on 25-49 unweighted cases",NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",11.9,12.5,12.4,21.8,"Jammu & Kashmir",NA,NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",15,24.5,22.2,32,"Jammu & Kashmir","Based on 25-49 unweighted cases",NA,NA,NA
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",12.3,14,13.6,23.5,"Jammu & Kashmir",NA,NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",30.1,25.9,26.9,27.4,"Jammu & Kashmir",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",17.6,19.4,19,12.2,"Jammu & Kashmir",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",9.6,9.7,9.7,5.6,"Jammu & Kashmir",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",19.4,21.5,21,16.6,"Jammu & Kashmir",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",10.8,9.3,9.6,5.7,"Jammu & Kashmir",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",3.7,5.8,5.2,12.2,"Jammu & Kashmir",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",2.5,5,4.3,11.5,"Jammu & Kashmir",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI =25.0 kg/m2)21 (%)",33.4,27.9,29.3,29.3,"Jammu & Kashmir",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI =25.0 kg/m2) (%)",40.8,28.2,31.6,20.5,"Jammu & Kashmir",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (=0.85) (%)",89.2,87.3,87.8,NA,"Jammu & Kashmir",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (=0.90) (%)",66,58.7,60.7,NA,"Jammu & Kashmir",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",70.1,73.5,72.7,53.8,"Jammu & Kashmir",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",62.5,69,67.3,49,"Jammu & Kashmir",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",44.1,44.1,44.1,46.9,"Jammu & Kashmir",NA,NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",61.4,67.5,65.9,48.9,"Jammu & Kashmir",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",71.5,77.5,76.2,49.9,"Jammu & Kashmir",NA,NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",28,40,36.7,20.4,"Jammu & Kashmir",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",37.9,60.1,53.5,29.5,"Jammu & Kashmir",NA,NA,NA,NA
"99. Blood sugar level - high (141-160 mg/dl)23 (%)",3.9,4.3,4.2,NA,"Jammu & Kashmir",NA,NA,NA,NA
"100. Blood sugar level - very high (>160 mg/dl)23 (%)",3.4,3,3.1,NA,"Jammu & Kashmir",NA,NA,NA,NA
"101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",9.2,8.6,8.7,NA,"Jammu & Kashmir",NA,NA,NA,NA
"102. Blood sugar level - high (141-160 mg/dl)23 (%)",4,4.4,4.3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"103. Blood sugar level - very high (>160 mg/dl)23 (%)",2.9,2.7,2.7,NA,"Jammu & Kashmir",NA,NA,NA,NA
"104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",8.1,8,8,NA,"Jammu & Kashmir",NA,NA,NA,NA
"105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",11.4,11.8,11.7,NA,"Jammu & Kashmir",NA,NA,NA,NA
"106. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",3,3.1,3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"107. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",21.2,19.6,20,NA,"Jammu & Kashmir",NA,NA,NA,NA
"108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",12.5,12.2,12.3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"109. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",2.8,2.7,2.8,NA,"Jammu & Kashmir",NA,NA,NA,NA
"110. Elevated blood pressure (Systolic =140 mm of Hg and/or Diastolic =90 mm of Hg) or taking medicine to control blood pressure (%)",20.1,18.5,18.9,NA,"Jammu & Kashmir",NA,NA,NA,NA
"111. Ever undergone a screening test for cervical cancer (%)",0.3,0.6,0.5,NA,"Jammu & Kashmir",NA,NA,NA,NA
"112. Ever undergone a breast examination for breast cancer (%)",0.1,0.4,0.3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"113. Ever undergone an oral cavity examination for oral cancer (%)",0.1,0.9,0.7,NA,"Jammu & Kashmir",NA,NA,NA,NA
"114. Ever undergone an oral cavity examination for oral cancer (%)",0.1,1.6,1.1,NA,"Jammu & Kashmir",NA,NA,NA,NA
"115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",17.4,15.2,15.8,18.9,"Jammu & Kashmir",NA,NA,NA,NA
"116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",27.3,36,33.6,24.6,"Jammu & Kashmir",NA,NA,NA,NA
"117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",72,62.7,65.3,68.5,"Jammu & Kashmir",NA,NA,NA,NA
"118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",65.5,78.1,74.6,83.7,"Jammu & Kashmir",NA,NA,NA,NA
"119. Currently married women who usually participate in three household decisions25 (%)",81.3,81.7,81.6,84,"Jammu & Kashmir",NA,NA,NA,NA
"120. Women who worked in the last 12 months and were paid in cash (%)",18.1,18.5,18.4,12.3,"Jammu & Kashmir",NA,NA,NA,NA
"121. Women owning a house and/or land (alone or jointly with others) (%)",48.2,60.8,57.3,33.1,"Jammu & Kashmir",NA,NA,NA,NA
"122. Women having a bank or savings account that they themselves use (%)",88.5,83.5,84.9,60,"Jammu & Kashmir",NA,NA,NA,NA
"123. Women having a mobile phone that they themselves use (%)",80.4,73.3,75.2,53.9,"Jammu & Kashmir",NA,NA,NA,NA
"124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",85.8,69.6,73.4,66.6,"Jammu & Kashmir",NA,NA,NA,NA
"125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",5.9,11,9.6,9.4,"Jammu & Kashmir",NA,NA,NA,NA
"126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",0.3,1.6,1.2,1.3,"Jammu & Kashmir",NA,NA,NA,NA
"127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",1.4,5,4,3.1,"Jammu & Kashmir",NA,NA,NA,NA
"128. Women age 15 years and above who use any kind of tobacco (%)",1.8,4.2,3.6,NA,"Jammu & Kashmir",NA,NA,NA,NA
"129. Men age 15 years and above who use any kind of tobacco (%)",32,40.6,38.3,NA,"Jammu & Kashmir",NA,NA,NA,NA
"130. Women age 15 years and above who consume alcohol (%)",0.1,0.2,0.2,NA,"Jammu & Kashmir",NA,NA,NA,NA
"131. Men age 15 years and above who consume alcohol (%)",7.7,9.2,8.8,NA,"Jammu & Kashmir",NA,NA,NA,NA
"1. Female population age 6 years and above who ever attended school (%)",82,67,73,70.7,"Karnataka",NA,NA,NA,NA
"2. Population below age 15 years (%)",22.4,23.2,22.9,24.4,"Karnataka",NA,NA,NA,NA
"3. Sex ratio of the total population (females per 1,000 males)",1034,1035,1034,979,"Karnataka",NA,NA,NA,NA
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",1063,931,978,910,"Karnataka",NA,NA,NA,NA
"5. Children under age 5 years whose birth was registered with the civil authority (%)",98.8,96.8,97.5,94.9,"Karnataka",NA,NA,NA,NA
"6. Deaths in the last 3 years registered with the civil authority (%)",88.7,85.5,86.6,NA,"Karnataka",NA,NA,NA,NA
"7. Population living in households with electricity (%)",99.3,99,99.1,98.3,"Karnataka",NA,NA,NA,NA
"8. Population living in households with an improved drinking-water source1 (%)",97.3,94.1,95.3,95.3,"Karnataka",NA,NA,NA,NA
"9. Population living in households that use an improved sanitation facility2 (%)",84.4,68.5,74.8,57.8,"Karnataka",NA,NA,NA,NA
"10. Households using clean fuel for cooking3 (%)",94.5,69.3,79.7,54.7,"Karnataka",NA,NA,NA,NA
"11. Households using iodized salt (%)",97.7,89.4,92.8,86.8,"Karnataka",NA,NA,NA,NA
"12. Households with any usual member covered under a health insurance/financing scheme (%)",28.2,28,28.1,28.1,"Karnataka",NA,NA,NA,NA
"13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",18.9,16.3,17.3,NA,"Karnataka",NA,NA,NA,NA
"14. Women who are literate4 (%)",85.1,71,76.7,NA,"Karnataka",NA,NA,NA,NA
"15. Men who are literate4 (%)",90.5,87,88.5,NA,"Karnataka",NA,NA,NA,NA
"16. Women with 10 or more years of schooling (%)",62.3,42,50.2,45.5,"Karnataka",NA,NA,NA,NA
"17. Men with 10 or more years of schooling (%)",64.8,50.6,56.5,55.2,"Karnataka",NA,NA,NA,NA
"18. Women who have ever used the internet (%)",50.1,24.8,35,NA,"Karnataka",NA,NA,NA,NA
"19. Men who have ever used the internet (%)",71.5,55.6,62.4,NA,"Karnataka",NA,NA,NA,NA
"20. Women age 20-24 years married before age 18 years (%)",16.1,24.7,21.3,21.4,"Karnataka",NA,NA,NA,NA
"21. Men age 25-29 years married before age 21 years (%)",4.5,7.2,6.1,9.1,"Karnataka",NA,NA,NA,NA
"22. Total fertility rate (children per woman)",1.5,1.8,1.7,1.8,"Karnataka",NA,NA,NA,NA
"23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",3.4,6.6,5.4,7.8,"Karnataka",NA,NA,NA,NA
"24. Adolescent fertility rate for women age 15-19 years5",27,47,40,51,"Karnataka",NA,NA,NA,NA
"25. Neonatal mortality rate (NNMR)",15.1,16.2,15.8,18.5,"Karnataka",NA,NA,NA,NA
"26. Infant mortality rate (IMR)",21.4,27.8,25.4,26.9,"Karnataka",NA,NA,NA,NA
"27. Under-five mortality rate (U5MR)",24.5,32.5,29.5,31.5,"Karnataka",NA,NA,NA,NA
"28. Any method6 (%)",69.6,68.2,68.7,51.8,"Karnataka",NA,NA,NA,NA
"29. Any modern method6 (%)",68.8,67.7,68.2,51.3,"Karnataka",NA,NA,NA,NA
"30. Female sterilization (%)",55.2,58.9,57.4,48.6,"Karnataka",NA,NA,NA,NA
"31. Male sterilization (%)",0,0,0,0.1,"Karnataka",NA,NA,NA,NA
"32. IUD/PPIUD (%)",3.4,2.5,2.9,0.8,"Karnataka",NA,NA,NA,NA
"33. Pill (%)",2.1,2.1,2.1,0.4,"Karnataka",NA,NA,NA,NA
"34. Condom (%)",6,2.9,4.1,1.3,"Karnataka",NA,NA,NA,NA
"35. Injectables (%)",0.7,0.4,0.5,0,"Karnataka",NA,NA,NA,NA
"36. Total unmet need7 (%)",7.3,5.9,6.5,10.4,"Karnataka",NA,NA,NA,NA
"37. Unmet need for spacing7 (%)",4.2,3.4,3.8,6,"Karnataka",NA,NA,NA,NA
"38. Health worker ever talked to female non-users about family planning (%)",36.6,35.2,35.8,19.8,"Karnataka",NA,NA,NA,NA
"39. Current users ever told about side effects of current method8 (%)",79.7,68.7,72.9,41.6,"Karnataka",NA,NA,NA,NA
"40. Mothers who had an antenatal check-up in the first trimester (%)",73.7,69.3,71,65.9,"Karnataka",NA,NA,NA,NA
"41. Mothers who had at least 4 antenatal care visits (%)",71.2,70.6,70.9,70.1,"Karnataka",NA,NA,NA,NA
"42. Mothers whose last birth was protected against neonatal tetanus9 (%)",94.9,92.8,93.6,88.1,"Karnataka",NA,NA,NA,NA
"43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",50.7,40.9,44.7,45.2,"Karnataka",NA,NA,NA,NA
"44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",31.5,23.7,26.7,32.6,"Karnataka",NA,NA,NA,NA
"45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",96.8,98.2,97.6,89.3,"Karnataka",NA,NA,NA,NA
"46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",87.4,87.4,87.4,65.5,"Karnataka",NA,NA,NA,NA
"47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",5042,4911,4954,4824,"Karnataka",NA,NA,NA,NA
"48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",2.5,15.3,12.3,5.6,"Karnataka","Based on 25-49 unweighted cases",NA,NA,NA
"49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",86.4,84.9,85.5,NA,"Karnataka",NA,NA,NA,NA
"50. Institutional births (%)",98.3,96.2,97,94,"Karnataka",NA,NA,NA,NA
"51. Institutional births in public facility (%)",56,70,64.8,61.2,"Karnataka",NA,NA,NA,NA
"52. Home births that were conducted by skilled health personnel10 (%)",1.1,2,1.6,3.1,"Karnataka",NA,NA,NA,NA
"53. Births attended by skilled health personnel10 (%)",96.2,92.5,93.8,93.7,"Karnataka",NA,NA,NA,NA
"54. Births delivered by caesarean section (%)",35.2,29.4,31.5,23.6,"Karnataka",NA,NA,NA,NA
"55. Births in a private health facility that were delivered by caesarean section (%)",52.3,52.8,52.5,40.3,"Karnataka",NA,NA,NA,NA
"56. Births in a public health facility that were delivered by caesarean section (%)",23.3,22.2,22.6,16.9,"Karnataka",NA,NA,NA,NA
"57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",80,86.5,84.1,62.6,"Karnataka",NA,NA,NA,NA
"58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",88.3,88.3,88.3,72.7,"Karnataka",NA,NA,NA,NA
"59. Children age 12-23 months who have received BCG (%)",96.6,97.5,97.2,92.5,"Karnataka",NA,NA,NA,NA
"60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",82.5,90.5,87.6,74.6,"Karnataka",NA,NA,NA,NA
"61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",91.3,92.5,92.1,77.9,"Karnataka",NA,NA,NA,NA
"62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",89,92.5,91.2,82.4,"Karnataka",NA,NA,NA,NA
"63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",34.4,32.9,33.4,NA,"Karnataka",NA,NA,NA,NA
"64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",7.6,4.9,5.9,NA,"Karnataka",NA,NA,NA,NA
"65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",86.6,90.1,88.8,58.9,"Karnataka",NA,NA,NA,NA
"66. Children age 9-35 months who received a vitamin A dose in the last 6 months (%)",86.7,86,86.2,82.4,"Karnataka",NA,NA,NA,NA
"67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",81.9,97.4,91.7,88.2,"Karnataka",NA,NA,NA,NA
"68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",18,2,7.9,11.4,"Karnataka",NA,NA,NA,NA
"69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",4.6,5.6,5.3,4.5,"Karnataka",NA,NA,NA,NA
"70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",79.1,67.5,71.3,52.8,"Karnataka",NA,NA,NA,NA
"71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",47.2,44.7,45.5,34.3,"Karnataka",NA,NA,NA,NA
"72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",74.4,72.9,73.4,69.7,"Karnataka",NA,NA,NA,NA
"73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1.2,1.7,1.5,1.2,"Karnataka",NA,NA,NA,NA
"74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",60.8,67.8,65.7,76.9,"Karnataka",NA,NA,NA,NA
"75. Children under age 3 years breastfed within one hour of birth15 (%)",51.8,47.5,49.1,56.3,"Karnataka",NA,NA,NA,NA
"76. Children under age 6 months exclusively breastfed16 (%)",56.7,63,61,54.2,"Karnataka",NA,NA,NA,NA
"77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",50.4,43.6,45.8,46,"Karnataka",NA,NA,NA,NA
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",9,12.1,11,5.8,"Karnataka",NA,NA,NA,NA
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",19.6,19.4,19.5,14.4,"Karnataka",NA,NA,NA,NA
"80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",11.4,13.7,12.8,8.2,"Karnataka",NA,NA,NA,NA
"81. Children under 5 years who are stunted (height-for-age)18 (%)",32.2,37.2,35.4,36.2,"Karnataka",NA,NA,NA,NA
"82. Children under 5 years who are wasted (weight-for-height)18 (%)",18.5,20.1,19.5,26.1,"Karnataka",NA,NA,NA,NA
"83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8.6,8.3,8.4,10.5,"Karnataka",NA,NA,NA,NA
"84. Children under 5 years who are underweight (weight-for-age)18 (%)",29.4,34.9,32.9,35.2,"Karnataka",NA,NA,NA,NA
"85. Children under 5 years who are overweight (weight-for-height)20 (%)",3.8,2.9,3.2,2.6,"Karnataka",NA,NA,NA,NA
"86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",12.9,19.9,17.2,20.7,"Karnataka",NA,NA,NA,NA
"87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",11.5,16.2,14.3,16.5,"Karnataka",NA,NA,NA,NA
"88. Women who are overweight or obese (BMI =25.0 kg/m2)21 (%)",37.1,25.6,30.1,23.3,"Karnataka",NA,NA,NA,NA
"89. Men who are overweight or obese (BMI =25.0 kg/m2) (%)",39.4,25,30.9,22.1,"Karnataka",NA,NA,NA,NA
"90. Women who have high risk waist-to-hip ratio (=0.85) (%)",46.8,43.9,45.1,NA,"Karnataka",NA,NA,NA,NA
"91. Men who have high risk waist-to-hip ratio (=0.90) (%)",41.2,37.4,38.9,NA,"Karnataka",NA,NA,NA,NA
"92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",62.8,67.1,65.5,60.9,"Karnataka",NA,NA,NA,NA
"93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",44.1,50.3,47.8,44.8,"Karnataka",NA,NA,NA,NA
"94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",37.3,50.6,45.7,45.4,"Karnataka",NA,NA,NA,NA
"95. All women age 15-49 years who are anaemic22 (%)",43.9,50.3,47.8,44.8,"Karnataka",NA,NA,NA,NA
"96. All women age 15-19 years who are anaemic22 (%)",48,50.2,49.4,45.3,"Karnataka",NA,NA,NA,NA
"97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",17.3,21.2,19.6,18.3,"Karnataka",NA,NA,NA,NA
"98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",26.4,26.5,26.5,24.5,"Karnataka",NA,NA,NA,NA
"99. Blood sugar level - high (141-160 mg/dl)23 (%)",6.4,5.3,5.7,NA,"Karnataka",NA,NA,NA,NA
"100. Blood sugar level - very high (>160 mg/dl)23 (%)",8,6.1,6.8,NA,"Karnataka",NA,NA,NA,NA
"101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.2,12.6,14,NA,"Karnataka",NA,NA,NA,NA
"102. Blood sugar level - high (141-160 mg/dl)23 (%)",7.7,6,6.6,NA,"Karnataka",NA,NA,NA,NA
"103. Blood sugar level - very high (>160 mg/dl)23 (%)",8.6,7,7.6,NA,"Karnataka",NA,NA,NA,NA
"104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",18,14.1,15.6,NA,"Karnataka",NA,NA,NA,NA
"105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16.3,13.8,14.8,NA,"Karnataka",NA,NA,NA,NA
"106. Moderately or severely elevated blood pressure (Systolic =160 mm of Hg and/or Diastolic =100 mm of Hg) (%)",6.1,6.2,6.2,NA,"Karnataka",NA,NA,NA,NA
