"","Indicator","Urban","Rural","Total","NFHS4","state","Flag_Urban","Flag_Rural","Flag_Total","Flag_NFHS4"
"835","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",86.4,84.9,85.5,NA,"Karnataka","","","",""
"836","50. Institutional births (%)",98.3,96.2,97,94,"Karnataka","","","",""
"837","51. Institutional births in public facility (%)",56,70,64.8,61.2,"Karnataka","","","",""
"838","52. Home births that were conducted by skilled health personnel10 (%)",1.1,2,1.6,3.1,"Karnataka","","","",""
"839","53. Births attended by skilled health personnel10 (%)",96.2,92.5,93.8,93.7,"Karnataka","","","",""
"840","54. Births delivered by caesarean section (%)",35.2,29.4,31.5,23.6,"Karnataka","","","",""
"841","55. Births in a private health facility that were delivered by caesarean section (%)",52.3,52.8,52.5,40.3,"Karnataka","","","",""
"842","56. Births in a public health facility that were delivered by caesarean section (%)",23.3,22.2,22.6,16.9,"Karnataka","","","",""
"843","57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11 (%)",80,86.5,84.1,62.6,"Karnataka","","","",""
"844","58. Children age 12-23 months fully vaccinated based on information from vaccination card only12 (%)",88.3,88.3,88.3,72.7,"Karnataka","","","",""
"845","59. Children age 12-23 months who have received BCG (%)",96.6,97.5,97.2,92.5,"Karnataka","","","",""
"846","60. Children age 12-23 months who have received 3 doses of polio vaccine13 (%)",82.5,90.5,87.6,74.6,"Karnataka","","","",""
"847","61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%)",91.3,92.5,92.1,77.9,"Karnataka","","","",""
"848","62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%)",89,92.5,91.2,82.4,"Karnataka","","","",""
"849","63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%)",34.4,32.9,33.4,NA,"Karnataka","","","",""
"850","64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14 (%)",7.6,4.9,5.9,NA,"Karnataka","","","",""
"851","65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%)",86.6,90.1,88.8,58.9,"Karnataka","","","",""
"852","66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%)",86.7,85.9,86.2,78.7,"Karnataka","","","",""
"853","67. Children age 12-23 months who received most of their vaccinations in a public health facility (%)",81.9,97.4,91.7,88.2,"Karnataka","","","",""
"854","68. Children age 12-23 months who received most of their vaccinations in a private health facility (%)",18,2,7.9,11.4,"Karnataka","","","",""
"855","69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%)",4.6,5.6,5.3,4.5,"Karnataka","","","",""
"856","70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%)",79.1,67.5,71.3,52.8,"Karnataka","","","",""
"857","71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%)",47.2,44.7,45.5,34.3,"Karnataka","","","",""
"858","72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%)",74.4,72.9,73.4,69.7,"Karnataka","","","",""
"859","73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%)",1.2,1.7,1.5,1.2,"Karnataka","","","",""
"860","74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%)",60.8,67.8,65.7,76.9,"Karnataka","","","",""
"861","75. Children under age 3 years breastfed within one hour of birth15 (%)",51.8,47.5,49.1,56.3,"Karnataka","","","",""
"862","76. Children under age 6 months exclusively breastfed16 (%)",56.7,63,61,54.2,"Karnataka","","","",""
"863","77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16 (%)",50.4,43.6,45.8,46,"Karnataka","","","",""
"864","78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",9,12.1,11,5.8,"Karnataka","","","",""
"865","79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17 (%)",19.6,19.4,19.5,14.4,"Karnataka","","","",""
"866","80. Total children age 6-23 months receiving an adequate diet16, 17 (%)",11.4,13.7,12.8,8.2,"Karnataka","","","",""
"867","81. Children under 5 years who are stunted (height-for-age)18 (%)",32.2,37.2,35.4,36.2,"Karnataka","","","",""
"868","82. Children under 5 years who are wasted (weight-for-height)18 (%)",18.5,20.1,19.5,26.1,"Karnataka","","","",""
"869","83. Children under 5 years who are severely wasted (weight-for-height)19 (%)",8.6,8.3,8.4,10.5,"Karnataka","","","",""
"870","84. Children under 5 years who are underweight (weight-for-age)18 (%)",29.4,34.9,32.9,35.2,"Karnataka","","","",""
"871","85. Children under 5 years who are overweight (weight-for-height)20 (%)",3.8,2.9,3.2,2.6,"Karnataka","","","",""
"872","86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21 (%)",12.9,19.9,17.2,20.7,"Karnataka","","","",""
"873","87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%)",11.5,16.2,14.3,16.5,"Karnataka","","","",""
"874","88. Women who are overweight or obese (BMI ≥25.0 kg/m2)21 (%)",37.1,25.6,30.1,23.3,"Karnataka","","","",""
"875","89. Men who are overweight or obese (BMI ≥25.0 kg/m2) (%)",39.4,25,30.9,22.1,"Karnataka","","","",""
"876","90. Women who have high risk waist-to-hip ratio (≥0.85) (%)",46.8,43.9,45.1,NA,"Karnataka","","","",""
"877","91. Men who have high risk waist-to-hip ratio (≥0.90) (%)",41.2,37.4,38.9,NA,"Karnataka","","","",""
"878","92. Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%)",62.8,67.1,65.5,60.9,"Karnataka","","","",""
"879","93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22 (%)",44.1,50.3,47.8,44.8,"Karnataka","","","",""
"880","94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22 (%)",37.3,50.6,45.7,45.4,"Karnataka","","","",""
"881","95. All women age 15-49 years who are anaemic22 (%)",43.9,50.3,47.8,44.8,"Karnataka","","","",""
"882","96. All women age 15-19 years who are anaemic22 (%)",48,50.2,49.4,45.3,"Karnataka","","","",""
"883","97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%)",17.3,21.2,19.6,18.3,"Karnataka","","","",""
"884","98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%)",26.4,26.5,26.5,24.5,"Karnataka","","","",""
"885","99. Blood sugar level - high (141-160 mg/dl)23 (%)",6.4,5.3,5.7,NA,"Karnataka","","","",""
"886","100. Blood sugar level - very high (>160 mg/dl)23 (%)",8,6.1,6.8,NA,"Karnataka","","","",""
"887","101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",16.2,12.6,14,NA,"Karnataka","","","",""
"888","102. Blood sugar level - high (141-160 mg/dl)23 (%)",7.7,6,6.6,NA,"Karnataka","","","",""
"889","103. Blood sugar level - very high (>160 mg/dl)23 (%)",8.6,7,7.6,NA,"Karnataka","","","",""
"890","104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23 (%)",18,14.1,15.6,NA,"Karnataka","","","",""
"891","105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",16.3,13.8,14.8,NA,"Karnataka","","","",""
"892","106. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",6.1,6.2,6.2,NA,"Karnataka","","","",""
"893","107. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",27.4,23.4,25,NA,"Karnataka","","","",""
"894","108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%)",18.5,16.5,17.2,NA,"Karnataka","","","",""
"895","109. Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%)",6.8,6.6,6.7,NA,"Karnataka","","","",""
"896","110. Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%)",29.2,25.5,26.9,NA,"Karnataka","","","",""
"897","111. Ever undergone a screening test for cervical cancer (%)",0.6,0.5,0.5,NA,"Karnataka","","","",""
"898","112. Ever undergone a breast examination for breast cancer (%)",0.4,0.3,0.4,NA,"Karnataka","","","",""
"899","113. Ever undergone an oral cavity examination for oral cancer (%)",0.5,0.4,0.5,NA,"Karnataka","","","",""
"900","114. Ever undergone an oral cavity examination for oral cancer (%)",0.3,0.4,0.3,NA,"Karnataka","","","",""
"901","115. Women who have comprehensive knowledge24 of HIV/AIDS (%)",30,20.8,24.5,9.5,"Karnataka","","","",""
"902","116. Men who have comprehensive knowledge24 of HIV/AIDS (%)",28,25.6,26.6,26.4,"Karnataka","","","",""
"903","117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",84.2,76.1,79.4,50,"Karnataka","","","",""
"904","118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%)",88.6,87.3,87.8,65.9,"Karnataka","","","",""
"905","119. Currently married women who usually participate in three household decisions25 (%)",86.2,80.5,82.7,80.4,"Karnataka","","","",""
"906","120. Women who worked in the last 12 months and were paid in cash (%)",30.5,41.4,37,29.1,"Karnataka","","","",""
"907","121. Women owning a house and/or land (alone or jointly with others) (%)",64.5,69.7,67.6,51.8,"Karnataka","","","",""
"908","122. Women having a bank or savings account that they themselves use (%)",90.2,87.7,88.7,59.4,"Karnataka","","","",""
"909","123. Women having a mobile phone that they themselves use (%)",74.2,53.4,61.8,47.1,"Karnataka","","","",""
"910","124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26 (%)",90.9,79.8,84.2,70.3,"Karnataka","","","",""
"911","125. Ever-married women age 18-49 years who have ever experienced spousal violence27 (%)",44.5,44.4,44.4,20.6,"Karnataka","","","",""
"912","126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%)",4.9,6.4,5.8,6.5,"Karnataka","","","",""
"913","127. Young women age 18-29 years who experienced sexual violence by age 18 (%)",10.9,11.2,11,10.3,"Karnataka","","","",""
"914","128. Women age 15 years and above who use any kind of tobacco (%)",4.6,11.1,8.5,NA,"Karnataka","","","",""
"915","129. Men age 15 years and above who use any kind of tobacco (%)",21.5,30.8,27.1,NA,"Karnataka","","","",""
"916","130. Women age 15 years and above who consume alcohol (%)",0.9,1,0.9,NA,"Karnataka","","","",""
"917","131. Men age 15 years and above who consume alcohol (%)",15.3,17.4,16.5,NA,"Karnataka","","","",""
"918","1. Female population age 6 years and above who ever attended school (%)",97,94.1,95.5,95.4,"Kerala","","","",""
"919","2. Population below age 15 years (%)",20.7,20.5,20.6,20.2,"Kerala","","","",""
"920","3. Sex ratio of the total population (females per 1,000 males)",1138,1105,1121,1049,"Kerala","","","",""
"921","4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",983,922,951,1047,"Kerala","","","",""
"922","5. Children under age 5 years whose birth was registered with the civil authority (%)",99.5,98.5,99,97.7,"Kerala","","","",""
"923","6. Deaths in the last 3 years registered with the civil authority (%)",98,96.9,97.4,NA,"Kerala","","","",""
"924","7. Population living in households with electricity (%)",99.9,99.3,99.6,99.2,"Kerala","","","",""
"925","8. Population living in households with an improved drinking-water source1 (%)",96.4,93.6,94.9,94.8,"Kerala","","","",""
"926","9. Population living in households that use an improved sanitation facility2 (%)",99,98.5,98.7,98.2,"Kerala","","","",""
"927","10. Households using clean fuel for cooking3 (%)",78.5,66.3,72.1,57.4,"Kerala","","","",""
"928","11. Households using iodized salt (%)",99.6,99.2,99.3,98.4,"Kerala","","","",""
"929","12. Households with any usual member covered under a health insurance/financing scheme (%)",47.2,55.4,51.5,47.7,"Kerala","","","",""
"930","13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%)",33.1,25.6,29,NA,"Kerala","","","",""
"931","14. Women who are literate4 (%)",99.1,97.5,98.3,NA,"Kerala","","","",""
"932","15. Men who are literate4 (%)",99.2,97.4,98.2,NA,"Kerala","","","",""
"933","16. Women with 10 or more years of schooling (%)",78.8,75.3,77,72.2,"Kerala","","","",""
"934","17. Men with 10 or more years of schooling (%)",76.8,70.2,73.3,70.5,"Kerala","","","",""
"935","18. Women who have ever used the internet (%)",64.9,57.5,61.1,NA,"Kerala","","","",""
"936","19. Men who have ever used the internet (%)",78.3,74.2,76.1,NA,"Kerala","","","",""
"937","20. Women age 20-24 years married before age 18 years (%)",4.1,8.2,6.3,7.6,"Kerala","","","",""
"938","21. Men age 25-29 years married before age 21 years (%)",0,2.5,1.4,2.8,"Kerala","","","",""
"939","22. Total fertility rate (children per woman)",1.8,1.8,1.8,1.6,"Kerala","","","",""
"940","23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%)",1.8,3,2.4,3,"Kerala","","","",""
"941","24. Adolescent fertility rate for women age 15-19 years5",15,21,18,21,"Kerala","","","",""
"942","25. Neonatal mortality rate (NNMR)",2.6,4.2,3.4,4.4,"Kerala","","","",""
"943","26. Infant mortality rate (IMR)",3.5,5.2,4.4,5.6,"Kerala","","","",""
"944","27. Under-five mortality rate (U5MR)",3.9,6.4,5.2,7.1,"Kerala","","","",""
"945","28. Any method6 (%)",61.4,60.1,60.7,53.1,"Kerala","","","",""
"946","29. Any modern method6 (%)",50.6,54.8,52.8,50.3,"Kerala","","","",""
"947","30. Female sterilization (%)",43.6,49.4,46.6,45.8,"Kerala","","","",""
"948","31. Male sterilization (%)",0,0.1,0.1,0.1,"Kerala","","","",""
"949","32. IUD/PPIUD (%)",1.6,1.5,1.5,1.6,"Kerala","","","",""
"950","33. Pill (%)",0.5,0.3,0.4,0.2,"Kerala","","","",""
"951","34. Condom (%)",4,2.9,3.4,2.6,"Kerala","","","",""
"952","35. Injectables (%)",0,0,0,0,"Kerala","","","",""
"953","36. Total unmet need7 (%)",13,12,12.5,13.7,"Kerala","","","",""
"954","37. Unmet need for spacing7 (%)",7.2,6.8,7,8.3,"Kerala","","","",""
"955","38. Health worker ever talked to female non-users about family planning (%)",13.7,16.1,15,17,"Kerala","","","",""
"956","39. Current users ever told about side effects of current method8 (%)",62.2,62.1,62.2,55.6,"Kerala","","","",""
"957","40. Mothers who had an antenatal check-up in the first trimester (%)",93.9,93.3,93.6,95.1,"Kerala","","","",""
"958","41. Mothers who had at least 4 antenatal care visits (%)",79.3,78,78.6,90.1,"Kerala","","","",""
"959","42. Mothers whose last birth was protected against neonatal tetanus9 (%)",94.7,95.7,95.2,96.4,"Kerala","","","",""
"960","43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%)",80.5,79.5,80,67.1,"Kerala","","","",""
"961","44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%)",66.2,67.7,67,47.4,"Kerala","","","",""
"962","45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%)",89.9,92.5,91.3,84.2,"Kerala","","","",""
"963","46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",93.1,93.4,93.3,88.7,"Kerala","","","",""
"964","47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.)",6602,6789,6710,6901,"Kerala","","","",""
"965","48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%)",NA,NA,NA,NA,"Kerala","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases","Percentage not shown; based on fewer than 25 unweighted cases"
"966","49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%)",90.4,92,91.2,NA,"Kerala","","","",""
